msg_size_bytes,barrier_latency_ms_mean,barrier_latency_ms_std,allreduce_latency_ms_mean,allreduce_latency_ms_std,allreduce_bandwidth_mbps_mean,allreduce_bandwidth_mbps_std,com_init_t_mean,node_count
8,0.0007820129394530801,0.0004353644380355591,0.009358525276184032,0.0012162162621270059,0.8266872359026192,0.09067810362995382,6.462037563323975,1
64,0.0007820129394530801,0.0004353644380355591,0.008789896965026816,0.0004168659912902538,6.9575952658811016,0.2996553967262235,6.462037563323975,1
512,0.0007820129394530801,0.0004353644380355591,0.009253025054931597,0.0005913155435786895,52.95133698902654,2.9247758065383502,6.462037563323975,1
4096,0.0007820129394530801,0.0004353644380355591,0.012166500091552684,0.0005518257445615482,321.6425922547778,13.081862217806496,6.462037563323975,1
32768,0.0007820129394530801,0.0004353644380355591,0.035672187805175726,0.0021322427330082534,878.5126244712131,42.81795730596451,6.462037563323975,1
262144,0.0007820129394530801,0.0004353644380355591,0.22066354751586909,0.004596413155203343,1133.4109466744123,22.87650821395727,6.462037563323975,1
1048576,0.0007820129394530801,0.0004353644380355591,0.8647757768630981,0.008675919028741519,1156.4820096443968,11.541638890373813,6.462037563323975,1
8,0.9142345190048218,0.5437255073939988,1.9031739234924316,1.129043026743617,0.09493267155616601,0.16120385001434148,1147.212266921997,2
64,0.9142345190048218,0.5437255073939988,1.8982517719268799,1.127163012499706,0.7636467995202978,1.30115107881991,1147.212266921997,2
512,0.9142345190048218,0.5437255073939988,1.8613678216934204,1.0930425181440035,5.95111768292102,10.139466301296748,1147.212266921997,2
4096,0.9142345190048218,0.5437255073939988,1.8820619583129883,1.106281187967544,43.03788371722165,72.8412789823639,1147.212266921997,2
32768,0.9142345190048218,0.5437255073939988,1.9171106815338135,1.1286551729545737,171.22689704316582,280.84204223010454,1147.212266921997,2
262144,0.9142345190048218,0.5437255073939988,2.5041908025741577,2.496183555425684,326.8283421611527,420.5239377960736,1147.212266921997,2
1048576,0.9142345190048218,0.5437255073939988,2.81046986579895,1.1312905663086477,488.75050872564344,346.2284418007585,1147.212266921997,2
8,2.068108320236206,0.5278858912636385,4.133530855178833,0.7280105981983273,0.00189907195483291,0.0003169139557960415,3182.6608777046204,4
64,2.068108320236206,0.5278858912636385,4.422922134399414,0.9842124680067887,0.014430937272482439,0.003002506337351741,3182.6608777046204,4
512,2.068108320236206,0.5278858912636385,4.518833160400391,1.0867527161112203,0.11341756538434969,0.02393405142724813,3182.6608777046204,4
4096,2.068108320236206,0.5278858912636385,4.186401963233948,0.7890689261086618,0.962974810783767,0.16727033449677886,3182.6608777046204,4
32768,2.068108320236206,0.5278858912636385,4.42660391330719,0.8617714698907327,7.320661001114108,1.4111265920498537,3182.6608777046204,4
262144,2.068108320236206,0.5278858912636385,4.543984532356262,0.8478517083853929,56.84673023336653,10.342886297824649,3182.6608777046204,4
1048576,2.068108320236206,0.5278858912636385,5.373829007148743,0.8742680867294511,190.63168540037626,29.201030748496866,3182.6608777046204,4
8,2.755468487739563,0.756095686342486,5.338025093078613,0.6519375490625424,0.0014498061890306875,0.00017650544684481934,7213.677525520325,8
64,2.755468487739563,0.756095686342486,5.525535345077515,0.9717261810482567,0.011400709957635433,0.0021182622635409513,7213.677525520325,8
512,2.755468487739563,0.756095686342486,5.69557249546051,0.8361748556726262,0.08754396068119288,0.012994039028823725,7213.677525520325,8
4096,2.755468487739563,0.756095686342486,5.518935322761536,0.72799191900183,0.7192005546492444,0.09087343506951501,7213.677525520325,8
32768,2.755468487739563,0.756095686342486,5.98016083240509,1.7958623315299596,5.516774701397429,1.0701124369144728,7213.677525520325,8
262144,2.755468487739563,0.756095686342486,5.727294087409973,0.8675134358329528,44.5051296382744,5.920823772178482,7213.677525520325,8
1048576,2.755468487739563,0.756095686342486,6.303263902664185,0.6519133743871971,160.29188144854874,16.4443118282848,7213.677525520325,8
8,4.3081629276275635,0.7653953352356728,9.694012999534607,3.941131548540368,0.0008480329518826751,0.00017054520672154735,15391.98088645935,16
64,4.3081629276275635,0.7653953352356728,9.239141345024109,2.196568258618137,0.006863912985850371,0.001208060306839983,15391.98088645935,16
512,4.3081629276275635,0.7653953352356728,8.710550665855408,1.298168915355924,0.057286463287757605,0.008684703394273935,15391.98088645935,16
4096,4.3081629276275635,0.7653953352356728,8.92002522945404,1.5746193041017955,0.45051614559335695,0.0763073049602651,15391.98088645935,16
32768,4.3081629276275635,0.7653953352356728,8.900334239006042,1.436024148477332,3.5967833314654145,0.5552181125052932,15391.98088645935,16
262144,4.3081629276275635,0.7653953352356728,9.918709397315979,3.581400848985013,26.823419240832646,5.298649960445176,15391.98088645935,16
1048576,4.3081629276275635,0.7653953352356728,9.858026504516602,1.1905703883709045,102.90155092556896,12.586359986782648,15391.98088645935,16
8,6.99283242225647,3.5175456224854944,13.013777136802673,3.9161018832238517,0.0006177564571518701,0.00011619091568387953,31537.140786647797,32
64,6.99283242225647,3.5175456224854944,13.089479207992554,4.2358803204162925,0.0049076441098997526,0.0008866006131415911,31537.140786647797,32
512,6.99283242225647,3.5175456224854944,12.961366176605225,3.9114213827388777,0.03964836225143474,0.007486918593938445,31537.140786647797,32
4096,6.99283242225647,3.5175456224854944,13.395574688911438,5.383694435905291,0.31343958914227177,0.06437972193841351,31537.140786647797,32
32768,6.99283242225647,3.5175456224854944,12.500834465026855,3.62973454977773,2.6151599860023365,0.4487528698407585,31537.140786647797,32
262144,6.99283242225647,3.5175456224854944,13.071245551109314,4.05730897737215,20.163827841182375,3.681201864123583,31537.140786647797,32
1048576,6.99283242225647,3.5175456224854944,16.306254267692566,6.694328586706758,67.81041156886806,16.88598939646693,31537.140786647797,32
